"Binomial" "ID" "year" "popvalue"
"series_1" 1 1 2
"series_2" 2 1 14
"series_3" 3 1 10
"series_4" 4 1 16
"series_5" 5 1 12
"series_6" 6 1 27
"series_7" 7 1 5
"series_8" 8 1 21
"series_9" 9 1 2
"series_10" 10 1 13
"series_1" 1 2 49
"series_2" 2 2 11
"series_3" 3 2 18
"series_4" 4 2 16
"series_5" 5 2 25
"series_6" 6 2 1
"series_7" 7 2 36
"series_8" 8 2 10
"series_9" 9 2 1
"series_10" 10 2 6
"series_1" 1 3 0
"series_2" 2 3 9
"series_3" 3 3 6
"series_4" 4 3 9
"series_5" 5 3 17
"series_6" 6 3 5
"series_7" 7 3 3
"series_8" 8 3 14
"series_9" 9 3 1
"series_10" 10 3 4
"series_1" 1 4 37
"series_2" 2 4 4
"series_3" 3 4 5
"series_4" 4 4 9
"series_5" 5 4 3
"series_6" 6 4 5
"series_7" 7 4 7
"series_8" 8 4 13
"series_9" 9 4 8
"series_10" 10 4 1
"series_1" 1 5 2
"series_2" 2 5 8
"series_3" 3 5 5
"series_4" 4 5 24
"series_5" 5 5 2
"series_6" 6 5 23
"series_7" 7 5 12
"series_8" 8 5 6
"series_9" 9 5 10
"series_10" 10 5 5
"series_1" 1 6 17
"series_2" 2 6 90
"series_3" 3 6 1
"series_4" 4 6 11
"series_5" 5 6 38
"series_6" 6 6 4
"series_7" 7 6 30
"series_8" 8 6 4
"series_9" 9 6 5
"series_10" 10 6 16
"series_1" 1 7 6
"series_2" 2 7 9
"series_3" 3 7 13
"series_4" 4 7 12
"series_5" 5 7 6
"series_6" 6 7 19
"series_7" 7 7 5
"series_8" 8 7 17
"series_9" 9 7 6
"series_10" 10 7 46
"series_1" 1 8 46
"series_2" 2 8 46
"series_3" 3 8 6
"series_4" 4 8 4
"series_5" 5 8 23
"series_6" 6 8 41
"series_7" 7 8 3
"series_8" 8 8 1
"series_9" 9 8 5
"series_10" 10 8 6
"series_1" 1 9 4
"series_2" 2 9 8
"series_3" 3 9 4
"series_4" 4 9 46
"series_5" 5 9 3
"series_6" 6 9 10
"series_7" 7 9 30
"series_8" 8 9 18
"series_9" 9 9 21
"series_10" 10 9 5
"series_1" 1 10 61
"series_2" 2 10 0
"series_3" 3 10 7
"series_4" 4 10 3
"series_5" 5 10 43
"series_6" 6 10 26
"series_7" 7 10 18
"series_8" 8 10 4
"series_9" 9 10 18
"series_10" 10 10 7
"series_1" 1 11 21
"series_2" 2 11 10
"series_3" 3 11 9
"series_4" 4 11 48
"series_5" 5 11 2
"series_6" 6 11 3
"series_7" 7 11 23
"series_8" 8 11 36
"series_9" 9 11 20
"series_10" 10 11 6
"series_1" 1 12 5
"series_2" 2 12 31
"series_3" 3 12 23
"series_4" 4 12 2
"series_5" 5 12 40
"series_6" 6 12 21
"series_7" 7 12 7
"series_8" 8 12 14
"series_9" 9 12 32
"series_10" 10 12 30
"series_1" 1 13 1
"series_2" 2 13 27
"series_3" 3 13 71
"series_4" 4 13 8
"series_5" 5 13 13
"series_6" 6 13 6
"series_7" 7 13 32
"series_8" 8 13 6
"series_9" 9 13 28
"series_10" 10 13 16
"series_1" 1 14 36
"series_2" 2 14 55
"series_3" 3 14 21
"series_4" 4 14 12
"series_5" 5 14 14
"series_6" 6 14 6
"series_7" 7 14 28
"series_8" 8 14 6
"series_9" 9 14 18
"series_10" 10 14 5
"series_1" 1 15 6
"series_2" 2 15 4
"series_3" 3 15 3
"series_4" 4 15 3
"series_5" 5 15 23
"series_6" 6 15 3
"series_7" 7 15 9
"series_8" 8 15 35
"series_9" 9 15 20
"series_10" 10 15 12
"series_1" 1 16 15
"series_2" 2 16 62
"series_3" 3 16 2
"series_4" 4 16 18
"series_5" 5 16 20
"series_6" 6 16 7
"series_7" 7 16 6
"series_8" 8 16 7
"series_9" 9 16 31
"series_10" 10 16 12
"series_1" 1 17 11
"series_2" 2 17 7
"series_3" 3 17 2
"series_4" 4 17 1
"series_5" 5 17 5
"series_6" 6 17 33
"series_7" 7 17 18
"series_8" 8 17 37
"series_9" 9 17 15
"series_10" 10 17 22
"series_1" 1 18 14
"series_2" 2 18 11
"series_3" 3 18 9
"series_4" 4 18 4
"series_5" 5 18 6
"series_6" 6 18 24
"series_7" 7 18 8
"series_8" 8 18 1
"series_9" 9 18 46
"series_10" 10 18 87
"series_1" 1 19 12
"series_2" 2 19 14
"series_3" 3 19 16
"series_4" 4 19 21
"series_5" 5 19 18
"series_6" 6 19 4
"series_7" 7 19 89
"series_8" 8 19 6
"series_9" 9 19 33
"series_10" 10 19 47
"series_1" 1 20 18
"series_2" 2 20 6
"series_3" 3 20 7
"series_4" 4 20 10
"series_5" 5 20 1
"series_6" 6 20 8
"series_7" 7 20 72
"series_8" 8 20 1
"series_9" 9 20 41
"series_10" 10 20 6
"series_1" 1 21 7
"series_2" 2 21 0
"series_3" 3 21 7
"series_4" 4 21 19
"series_5" 5 21 8
"series_6" 6 21 6
"series_7" 7 21 9
"series_8" 8 21 3
"series_9" 9 21 15
"series_10" 10 21 22
